Genre,Global_sum,Global_avg
Sports,691.21,2.2812211221122114
Action,634.13,2.3313602941176472
Platform,593.28,3.1896774193548385
Shooter,553.58,2.7136274509803924
Role-Playing,494.04,2.889122807017544
Racing,448.74,2.438804347826087
Misc,417.15,2.7264705882352938
Fighting,246.0,1.968
Adventure,230.10999999999999,2.1915238095238094
Simulation,205.14,2.229782608695652
Puzzle,108.65,2.4693181818181817
Strategy,73.97,1.8966666666666667
