Year,North America,Europe,Japan,Rest of World,Global
1983,0.3866666666666667,0.07666666666666667,1.3499999999999999,0.013333333333333334,1.8266666666666669
1984,3.572222222222222,0.20555555555555557,1.2222222222222223,0.07222222222222223,5.073333333333333
1985,5.348333333333333,0.7416666666666667,2.0216666666666665,0.15,8.261666666666667
1986,0.8825,0.21666666666666667,1.1316666666666666,0.03333333333333333,2.2641666666666667
1987,0.7542857142857142,0.16857142857142857,1.4885714285714287,0.025714285714285714,2.437142857142857
1988,2.3877777777777776,0.6955555555555555,1.5055555555555555,0.1,4.687777777777778
1989,4.367777777777778,0.8144444444444444,1.65,0.1522222222222222,6.985555555555556
1990,1.8146153846153845,0.5723076923076923,1.0799999999999998,0.10692307692307693,3.575384615384615
1991,1.087,0.367,0.625,0.062,2.141
1992,1.811,0.638,1.0325,0.092,3.5735
1993,1.1225,0.3666666666666667,0.8858333333333334,0.07166666666666667,2.4466666666666668
1994,1.5076190476190476,0.6638095238095237,0.5280952380952381,0.10523809523809524,2.802857142857143
1995,0.9022727272727273,0.5263636363636364,0.7345454545454545,0.07318181818181818,2.236818181818182
1996,1.2421276595744681,0.5942553191489361,0.4459574468085107,0.09808510638297872,2.379787234042553
1997,1.2316666666666667,0.5512962962962963,0.35703703703703704,0.09685185185185186,2.235
1998,1.1772839506172839,0.5962962962962962,0.3198765432098765,0.08654320987654321,2.1798765432098763
1999,1.4034848484848483,0.7072727272727273,0.45772727272727276,0.10075757575757577,2.6703030303030304
2000,1.164776119402985,0.5170149253731343,0.3517910447761194,0.10791044776119403,2.1413432835820894
2001,1.3781318681318682,0.7398901098901098,0.2845054945054945,0.1768131868131868,2.5785714285714287
2002,1.2217272727272726,0.6621818181818182,0.19381818181818183,0.17872727272727273,2.256090909090909
2003,0.981140350877193,0.5586842105263158,0.16798245614035087,0.15026315789473682,1.8573684210526316
2004,1.1538524590163934,0.6603278688524591,0.21868852459016394,0.1892622950819672,2.2213934426229507
2005,1.2192380952380952,0.8099999999999999,0.33666666666666667,0.26342857142857146,2.6299047619047617
2006,1.635145631067961,1.0175728155339807,0.4168932038834951,0.38291262135922327,3.452912621359223
2007,1.109235668789809,0.8132484076433122,0.1865605095541401,0.25980891719745225,2.3692356687898086
2008,1.0307608695652173,0.6742934782608696,0.1669021739130435,0.2255978260869565,2.097391304347826
2009,1.3027480916030534,0.8490076335877863,0.2830534351145038,0.2913740458015267,2.72618320610687
2010,1.2984615384615386,0.7969230769230768,0.19061538461538463,0.28446153846153843,2.570076923076923
2011,1.2296,0.8458,0.1397,0.2942,2.5101
2012,1.089,0.728,0.221,0.25283333333333335,2.2901666666666665
