Platform Group,Global_sum,Global_avg
PS2,805.08,2.2178512396694217
Wii,580.08,3.718461538461539
X360,543.3,2.492201834862385
DS,453.79,3.045570469798658
PS,447.65,2.0255656108597284
PS3,443.92,2.2196000000000002
Others,415.16,3.294920634920635
NES,213.14000000000001,3.552333333333334
PC,169.95,2.4630434782608694
GBA,157.05,2.1513698630136986
N64,147.47,2.5871929824561404
PSP,108.25,1.7745901639344261
XB,108.03,1.5432857142857144
GC,103.13,1.875090909090909
