Genre,Global_sum,Global_avg
Platform,593.28,3.1896774193548385
Role-Playing,494.04,2.889122807017544
Misc,417.15,2.7264705882352938
Shooter,553.58,2.7136274509803924
Puzzle,108.65,2.4693181818181817
Racing,448.74,2.438804347826087
Action,634.13,2.3313602941176472
Sports,691.21,2.2812211221122114
Simulation,205.14,2.229782608695652
Adventure,230.10999999999999,2.1915238095238094
Fighting,246.0,1.968
Strategy,73.97,1.8966666666666667
